brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
hatchback,14424,1,hyundai,hyundai i10,2010,270000,2010,third party,petrol,5,manual,2010,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.01,tubeless radial,4,chennai
sedan,39542,2,tata,tata tigor,2018,557000,2019,third party,petrol,5,automatic,2018,1199,3,4,no,no,3992,1677,1537,5,fwd,power,4.93,tubeless radial,4,chennai
hatchback,114507,2,hyundai,hyundai grand i10,2016,441000,2016,third party,petrol,5,manual,2016,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,67129,1,fiat,fiat punto pure,2015,340000,2015,comprehensive,diesel,5,manual,2015,1248,4,4,yes,no,3989,1687,1525,5,fwd,power,5.0,tubeless radial,5,chennai
hatchback,35405,1,volkswagen,volkswagen polo,2021,1000000,2021,third party,petrol,5,manual,2021,999,3,4,yes,no,3971,1682,1469,6,fwd,electronic,4.9,tubeless radial,5,chennai
hatchback,62992,1,volkswagen,volkswagen polo,2010,295000,2010,comprehensive,diesel,5,manual,2010,1199,3,4,no,no,3970,1682,1453,5,fwd,power,4.97,tubeless radial,5,chennai
hatchback,94241,1,hyundai,hyundai santro xing,2009,165000,2009,comprehensive,petrol,5,manual,2009,1086,3,4,no,no,3565,1525,1590,5,fwd,power,4.4,tubeless radial,5,chennai
hatchback,101423,2,tata,tata indica,2013,149000,2013,comprehensive,diesel,5,manual,2013,1396,4,4,yes,no,3690,1665,1485,5,fwd,power,4.9,radial,4,chennai
sedan,21647,1,toyota,toyota etios,2013,475000,2013,third party,petrol,5,manual,2013,1496,4,4,no,no,4097,1734,1562,5,fwd,power,5.36,tubeless radial,4,chennai
hatchback,78210,4,nissan,nissan micra,2010,135000,2011,third party,petrol,5,manual,2010,1198,3,4,no,no,3780,1665,1530,5,fwd,power,4.65,tubeless radial,5,chennai
hatchback,39922,1,hyundai,hyundai grand i10,2015,430000,2015,comprehensive,petrol,5,manual,2015,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,61372,2,maruti,maruti wagon r,2017,375000,2017,third party,petrol,5,manual,2017,998,3,4,no,no,3655,1620,1675,5,fwd,power,4.7,tubeless radial,5,chennai
hatchback,60250,1,hyundai,hyundai i10,2008,145000,2008,comprehensive,petrol,5,manual,2008,1086,4,3,no,no,3585,1595,1550,5,fwd,power,4.7,tubeless,5,chennai
hatchback,91617,3,hyundai,hyundai grand i10,2014,398000,2014,comprehensive,petrol,5,automatic,2014,1197,4,4,no,no,3765,1660,1520,4,fwd,power,4.8,tubeless,5,chennai
hatchback,23899,1,hyundai,hyundai i20 n line,2021,1076000,2021,third party,petrol,5,automatic,2021,998,3,4,yes,no,3995,1775,1505,7,fwd,electric,5.01,tubeless radial,5,chennai
hatchback,89000,1,maruti,maruti swift,2015,430000,2015,comprehensive,petrol,5,manual,2015,1197,4,4,no,no,3840,1735,1530,5,fwd,electric,4.83,tubeless,5,chennai
hatchback,97445,2,maruti,maruti celerio,2017,400000,2017,comprehensive,petrol,5,automatic,2017,998,3,4,no,no,3695,1600,1560,5,fwd,power,4.7,tubeless radial,5,chennai
hatchback,69680,2,hyundai,hyundai i10,2012,287000,2012,comprehensive,petrol,5,manual,2012,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.01,tubeless radial,4,chennai
hatchback,87431,1,hyundai,hyundai i20,2014,495000,2014,comprehensive,petrol,5,manual,2014,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
hatchback,98204,1,hyundai,hyundai eon,2015,298000,2015,zero dep,petrol,5,manual,2015,814,3,3,no,no,3495,1550,1500,5,fwd,power,4.6,tubeless,5,chennai
muv,161471,1,honda,honda mobilio,2014,425000,2014,comprehensive,diesel,7,manual,2014,1498,4,4,yes,no,4386,1683,1603,5,fwd,power,5.4,tubeless radial,5,chennai
sedan,108338,2,honda,honda city,2012,430999,2012,comprehensive,petrol,5,manual,2012,1497,4,4,no,no,4440,1695,1485,5,fwd,power,5.3,tubeless radial,4,chennai
hatchback,47045,1,hyundai,hyundai i20,2016,577000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
sedan,18079,1,tata,tata tigor,2018,600000,2019,third party,petrol,5,automatic,2018,1199,3,4,no,no,3992,1677,1537,5,fwd,power,4.93,tubeless radial,4,chennai
hatchback,44985,1,hyundai,hyundai i10,2009,225000,2009,third party,petrol,5,manual,2009,1086,4,3,no,no,3585,1595,1550,5,fwd,power,4.7,tubeless,5,chennai
sedan,84095,1,maruti,maruti ciaz,2017,675000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
suv,50520,1,jeep,jeep compass,2020,1475000,2020,comprehensive,diesel,5,manual,2020,1956,4,4,yes,no,4395,1818,1640,6,4x2,power,5.7,tubeless radial,5,chennai
sedan,82124,3,mahindra renault,mahindra renault logan,2010,145000,2010,comprehensive,diesel,5,manual,2010,1461,4,2,no,no,4247,1740,1534,5,fwd,power,5.25,tubeless radial,4,chennai
hatchback,91644,2,hyundai,hyundai santro xing,2005,100000,2005,comprehensive,petrol,5,manual,2005,1086,4,4,no,no,4097,1734,1562,5,fwd,power,5.01,tubeless radial,5,chennai
hatchback,100658,4,hyundai,hyundai santro xing,2005,70000,2005,comprehensive,petrol,5,manual,2005,1086,4,4,no,no,4097,1734,1562,5,fwd,power,5.01,tubeless radial,5,chennai
sedan,3228,1,honda,honda amaze,2018,750000,2018,third party,petrol,5,automatic,2018,1199,4,4,no,no,3990,1680,1505,5,fwd,power,4.7,tubeless radial,4,chennai
sedan,41516,1,tata,tata indigo,2010,150000,2010,third party,petrol,5,manual,2010,1193,4,4,no,no,3988,1620,1540,5,fwd,power,5.0,tubeless radial,4,chennai
hatchback,86147,2,chevrolet,chevrolet beat,2012,195000,2012,third party,diesel,5,manual,2012,936,3,4,no,no,3640,1595,1520,5,fwd,power,4.85,tubeless radial,5,chennai
sedan,101566,3,honda,honda city,2010,364000,2010,comprehensive,petrol,5,manual,2010,1497,4,4,no,no,4420,1695,1480,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,73139,1,skoda,skoda rapid,2018,729000,2018,zero dep,diesel,5,manual,2018,1498,4,4,yes,no,4413,1699,1466,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,16787,1,honda,honda amaze,2019,840000,2019,comprehensive,diesel,5,automatic,2019,1498,4,4,yes,no,3995,1695,1501,c,fwd,electric,4.9,tubeless radial,4,chennai
sedan,99715,2,skoda,skoda rapid,2016,680000,2016,comprehensive,petrol,5,automatic,2016,1598,4,4,no,no,4386,1699,1466,6,fwd,power,5.3,tubeless radial,4,chennai
muv,44386,1,datsun,datsun go plus,2018,413999,2019,comprehensive,petrol,7,manual,2018,1198,3,4,no,no,3995,1636,1507,5,fwd,electric,4.6,tubeless,5,chennai
hatchback,56200,1,volkswagen,volkswagen polo,2014,380000,2014,comprehensive,petrol,5,manual,2014,1598,4,4,no,no,3970,1682,1453,5,fwd,power,4.97,tubeless radial,5,chennai
muv,17003,1,datsun,datsun go plus,2018,428000,2018,third party,petrol,7,manual,2018,1198,3,4,no,no,3995,1636,1507,5,fwd,electric,4.6,tubeless,5,chennai
hatchback,44632,1,hyundai,hyundai grand i10,2014,465000,2014,third party,petrol,5,automatic,2014,1197,4,4,no,no,3765,1660,1520,4,fwd,power,4.8,tubeless,5,chennai
suv,32091,1,hyundai,hyundai creta,2018,1034000,2018,third party,petrol,5,automatic,2018,1591,4,4,no,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,chennai
muv,22740,2,renault,renault triber,2021,772000,2021,third party,petrol,7,automatic,2021,999,3,4,no,no,3991,1739,1643,5,fwd,electric,4.97,tubeless radial,5,chennai
suv,98000,2,mercedes-benz,mercedes-benz gle,2016,3500000,2016,comprehensive,diesel,5,automatic,2016,2143,4,4,yes,no,4819,2141,1796,9,awd,power,5.9,tubeless radial,5,chennai
sedan,95495,1,volkswagen,volkswagen ameo,2018,450000,2018,third party,petrol,5,manual,2018,1198,3,4,no,no,3995,1682,1483,5,fwd,power,5.11,tubeless radial,4,chennai
sedan,122533,2,hyundai,hyundai verna,2010,210000,2010,third party,petrol,5,manual,2010,1591,4,4,no,no,4370,1700,1475,5,fwd,power,5.2,tubeless radial,4,chennai
sedan,55320,1,maruti,maruti swift dzire,2013,409999,2013,third party,petrol,5,manual,2013,1197,4,4,no,no,3995,1735,1515,5,fwd,electric,4.8,tubeless radial,4,chennai
hatchback,68459,1,hyundai,hyundai i20,2012,325000,2012,third party,diesel,5,manual,2012,1396,4,4,no,no,3995,1710,1505,6,fwd,power,5.01,tubeless radial,5,chennai
sedan,14195,1,honda,honda amaze,2016,450000,2016,third party,petrol,5,manual,2016,1199,4,4,no,no,3995,1695,1501,5,fwd,electric,4.7,tubeless radial,4,chennai
hatchback,67900,1,hyundai,hyundai i20,2012,280000,2012,third party,petrol,5,manual,2012,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
hatchback,47756,1,maruti,maruti wagon r,2017,409999,2017,third party,petrol,5,automatic,2017,998,3,4,no,no,3599,1495,1700,5,fwd,power,4.6,tubeless,5,chennai
hatchback,42856,1,hyundai,hyundai grand i10,2016,520000,2016,third party,petrol,5,automatic,2016,1197,4,4,no,no,3765,1660,1520,4,fwd,power,4.8,tubeless,5,chennai
hatchback,43000,1,volkswagen,volkswagen polo,2014,560000,2014,comprehensive,diesel,5,manual,2014,1498,4,4,yes,no,3971,1682,1469,5,fwd,power,4.97,tubeless radial,5,chennai
sedan,27652,2,toyota,toyota yaris,2019,702000,2019,third party,petrol,5,manual,2019,1496,4,4,no,no,4425,1730,1495,6,fwd,power,5.1,tubeless radial,4,chennai
muv,23539,1,renault,renault triber,2021,656000,2021,third party,petrol,7,manual,2021,999,3,4,no,no,3991,1739,1643,5,fwd,electric,4.97,tubeless radial,5,chennai
sedan,50000,1,maruti,maruti ciaz,2015,525000,2015,comprehensive,petrol,5,manual,2015,1373,4,4,no,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
hatchback,18861,2,maruti,maruti alto k10,2017,357000,2017,comprehensive,petrol,5,manual,2017,998,3,4,no,no,3530,1490,1520,5,fwd,power,4.5,tubeless radial,5,chennai
hatchback,41138,1,maruti,maruti swift,2017,512000,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3840,1735,1530,5,fwd,power,4.8,tubeless,5,chennai
hatchback,55039,1,hyundai,hyundai i10,2012,250000,2012,comprehensive,petrol,5,manual,2012,1086,4,3,no,no,3585,1595,1550,5,fwd,power,4.7,tubeless,5,chennai
hatchback,41361,2,hyundai,hyundai i20,2018,700000,2018,third party,petrol,5,manual,2018,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
suv,81037,1,ford,ford ecosport,2015,535000,2015,comprehensive,diesel,5,manual,2015,1498,4,4,yes,no,3998,1765,1647,5,fwd,power,5.3,tubeless radial,4,chennai
hatchback,28897,2,honda,honda jazz,2017,641000,2018,comprehensive,petrol,5,automatic,2017,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
suv,46308,2,mahindra,mahindra kuv 100,2016,339000,2016,comprehensive,petrol,6,manual,2016,1198,3,4,no,no,3675,1705,1635,5,fwd,power,5.05,tubeless radial,5,chennai
hatchback,80033,1,hyundai,hyundai santro xing,2009,170000,2009,third party,petrol,5,manual,2009,1086,4,4,no,no,4097,1734,1562,5,fwd,power,5.01,tubeless radial,5,chennai
suv,15000,2,mini,mini cooper countryman,2015,2650000,2015,comprehensive,diesel,5,automatic,2015,1995,4,4,yes,no,4299,1822,1557,8,awd,power,6.0,tubeless radial,4,chennai
hatchback,100056,1,maruti,maruti wagon r,2012,310000,2012,comprehensive,petrol,5,manual,2012,1197,4,4,no,no,3655,1620,1675,5,fwd,power,4.7,tubeless radial,5,chennai
hatchback,90062,1,hyundai,hyundai i20,2018,725000,2018,comprehensive,petrol,5,manual,2018,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
sedan,80030,3,chevrolet,chevrolet optra,2005,114999,2005,comprehensive,petrol,5,manual,2005,1599,4,4,no,no,4500,1725,1445,5,fwd,power,5.2,tubeless radial,4,chennai
suv,90042,1,mahindra,mahindra tuv 300,2016,645000,2016,comprehensive,diesel,7,automatic,2016,1493,3,2,yes,no,3995,1835,1826,5,rwd,power,5.35,tubeless radial,5,chennai
hatchback,78030,1,maruti,maruti wagon r,2017,440000,2017,comprehensive,petrol,5,manual,2017,1197,4,4,no,no,3655,1620,1675,5,fwd,power,4.7,tubeless radial,5,chennai
suv,55000,2,bmw,bmw x3,2013,1650000,2013,comprehensive,diesel,5,automatic,2013,1995,4,4,yes,no,4648,2098,1661,8,4wd,power,6.12,tubeless radial,5,chennai
suv,100049,1,hyundai,hyundai santa fe,2014,975000,2014,comprehensive,diesel,7,automatic,2014,2199,4,4,yes,no,4690,1880,1690,6,fwd,power,5.35,tubeless,5,chennai
suv,138033,1,chevrolet,chevrolet tavera,2010,535000,2010,third party,diesel,7,manual,2010,2499,4,4,yes,yes,4435,1680,1765,5,2wd,power,5.62,tubeless radial,5,chennai
muv,14126,1,datsun,datsun go plus,2018,433000,2018,comprehensive,petrol,7,manual,2018,1198,3,4,no,no,3995,1636,1507,5,fwd,electric,4.6,tubeless,5,chennai
suv,35464,1,renault,renault duster,2020,1044999,2020,comprehensive,petrol,5,manual,2020,1330,4,4,yes,no,4360,1822,1695,6,fwd,power,4.97,tubeless radial,5,chennai
suv,100036,2,mahindra ssangyong,mahindra ssangyong rexton,2013,550000,2013,third party,diesel,7,manual,2013,2696,5,4,yes,no,4755,1900,1840,5,4wd,power,5.7,tubeless radial,5,chennai
hatchback,55161,3,hyundai,hyundai grand i10,2015,411000,2016,third party,petrol,5,manual,2015,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,33771,1,hyundai,hyundai santro,2019,518000,2019,third party,petrol,5,automatic,2019,1086,4,3,no,no,3610,1645,1560,5,fwd,power,5.01,tubeless radial,5,chennai
muv,75011,1,chevrolet,chevrolet enjoy,2016,525000,2016,comprehensive,diesel,8,manual,2016,1248,4,4,yes,no,4305,1680,1750,5,rwd,power,5.5,tubeless,5,chennai
sedan,41659,1,hyundai,hyundai verna,2016,647000,2016,third party,petrol,5,manual,2016,1591,4,4,no,no,4375,1700,1475,5,fwd,power,5.2,tubeless,4,chennai
sedan,126055,2,volvo,volvo s 80,2012,925000,2012,third party,diesel,5,automatic,2012,2400,5,5,yes,no,4851,2106,1493,6,fwd,power,5.85,tubeless radial,4,chennai
sedan,19935,1,tata,tata tigor,2020,645000,2020,third party,petrol,5,manual,2020,1199,3,4,no,no,3992,1677,1537,5,fwd,power,4.93,tubeless radial,4,chennai
hatchback,61126,1,datsun,datsun redigo,2016,252999,2016,comprehensive,petrol,5,manual,2016,799,3,4,no,no,3429,1560,1541,5,2wd,power,4.7,radial,5,chennai
suv,100043,2,mitsubishi,mitsubishi pajero,2012,1025000,2012,comprehensive,diesel,7,manual,2012,2477,4,4,yes,no,4695,1815,1840,5,4wd,power,5.6,tubeless radial,5,chennai
suv,70034,1,mitsubishi,mitsubishi pajero,2013,1175000,2013,third party,diesel,7,manual,2013,2477,4,4,yes,no,4695,1815,1840,5,4wd,power,5.6,tubeless radial,5,chennai
hatchback,90068,2,volkswagen,volkswagen polo,2018,600000,2018,comprehensive,diesel,5,manual,2018,1498,4,4,yes,no,3971,1682,1469,5,fwd,power,4.97,tubeless radial,5,chennai
sedan,86694,1,hyundai,hyundai xcent,2015,405000,2015,third party,petrol,5,manual,2015,1197,4,4,no,no,3995,1660,1520,5,fwd,power,4.7,tubeless radial,4,chennai
sedan,86000,2,mercedes-benz,mercedes-benz c-class,2011,1040000,2011,comprehensive,diesel,5,automatic,2011,2143,4,4,no,no,4596,1770,1447,6,rwd,power,5.42,tubeless radial,4,chennai
sedan,79399,1,maruti,maruti ciaz,2015,585000,2015,comprehensive,petrol,5,manual,2015,1373,4,4,no,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
sedan,86038,1,audi,audi a4,2012,1175000,2012,third party,diesel,5,automatic,2012,1968,4,4,yes,no,4586,1772,1427,7,fwd,power,5.55,tubeless radial,4,chennai
hatchback,69863,1,maruti,maruti wagon r,2015,385000,2015,third party,petrol,5,manual,2015,998,3,4,no,no,3595,1475,1700,5,fwd,power,4.6,tubeless radial,4,chennai
muv,2000022,1,toyota,toyota innova crysta,2017,1750000,2017,comprehensive,diesel,7,manual,2017,2393,7,4,yes,no,4735,1830,1795,5,rwd,power,5.4,tubeless radial,5,chennai
hatchback,133727,1,hyundai,hyundai i10,2013,310000,2013,third party,petrol,5,manual,2013,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.01,tubeless radial,4,chennai
suv,85781,1,hyundai,hyundai creta,2016,916000,2016,comprehensive,petrol,5,automatic,2016,1591,4,4,no,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,chennai
hatchback,8837,1,tata,tata altroz,2022,800000,2022,third party,diesel,5,manual,2022,1497,4,4,yes,no,3990,1755,1523,5,fwd,electric,5.0,tubeless radial,5,chennai
sedan,120057,2,toyota,toyota corolla altis,2011,475000,2011,third party,diesel,5,manual,2011,1364,4,4,yes,no,4620,1776,1475,6,fwd,power,5.3,tubeless radial,4,chennai
hatchback,48527,1,toyota,toyota glanza,2019,699000,2019,comprehensive,petrol,5,manual,2019,1197,4,4,no,no,3990,1745,1500,5,fwd,power,4.85,tubeless radial,5,chennai
suv,71096,2,honda,honda wr-v,2017,714000,2017,comprehensive,diesel,5,manual,2017,1498,4,4,yes,no,3999,1734,1601,6,fwd,electric,5.3,tubeless radial,5,chennai
sedan,22000,1,honda,honda amaze,2020,750000,2020,comprehensive,petrol,5,manual,2020,1199,4,4,no,no,3995,1695,1501,5,fwd,electric,4.7,tubeless radial,4,chennai
hatchback,110054,1,hyundai,hyundai grand i10 nios,2020,626000,2020,zero dep,petrol,5,manual,2020,1197,4,4,no,no,3805,1680,1520,5,fwd,electric,5.01,tubeless radial,5,chennai
sedan,85028,1,honda,honda city,2012,465000,2012,comprehensive,petrol,5,manual,2012,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
sedan,10990,1,honda,honda city,2021,1268000,2022,zero dep,petrol,5,manual,2021,1498,4,4,no,no,4549,1748,1489,6,fwd,electric,5.3,tubeless radial,4,chennai
sedan,115484,2,hyundai,hyundai elantra,2017,805000,2017,third party,petrol,5,manual,2017,1999,4,4,no,no,4570,1800,1465,6,fwd,power,5.01,tubeless radial,4,chennai
suv,80062,2,skoda,skoda yeti,2011,475000,2011,third party,diesel,5,manual,2011,1968,4,4,yes,no,4223,1793,1691,6,awd,power,5.0,tubeless radial,5,chennai
sedan,80039,1,skoda,skoda rapid,2012,375000,2012,third party,diesel,5,manual,2012,1598,4,4,yes,no,4386,1699,1466,5,fwd,power,5.3,tubeless radial,4,chennai
hatchback,16473,1,maruti,maruti s-presso,2020,509999,2020,third party,petrol,5,manual,2020,998,3,4,no,no,3565,1520,1567,5,fwd,power,4.5,tubeless radial,5,chennai
suv,8000,1,bmw,bmw x5,2022,9350000,2022,comprehensive,petrol,5,automatic,2022,2998,6,4,twin,no,4922,2218,1745,8,awd,power,6.12,tubeless runflat,5,chennai
hatchback,53819,1,maruti,maruti baleno,2017,660000,2017,third party,petrol,5,automatic,2017,1197,4,4,no,no,3995,1745,1510,c,fwd,power,4.9,tubeless radial,5,chennai
muv,100060,2,mahindra,mahindra scorpio,2011,495000,2011,third party,diesel,8,manual,2011,2179,4,4,yes,no,4430,1817,1975,5,2wd,power,5.6,tubeless radial,5,chennai
sedan,93000,1,volkswagen,volkswagen vento,2017,790000,2017,comprehensive,petrol,5,automatic,2017,1197,4,4,yes,no,4390,1699,1467,7,fwd,power,5.4,tubeless radial,4,chennai
muv,82000,1,maruti,maruti ertiga,2013,690000,2013,comprehensive,diesel,7,manual,2013,1248,4,4,yes,no,4265,1695,1685,5,fwd,power,5.2,tubeless radial,5,chennai
sedan,100057,1,bmw,bmw 5 series,2013,1450000,2013,third party,diesel,5,automatic,2013,1995,4,4,yes,no,4907,2102,1464,8,rwd,power,5.6,tubeless radial,4,chennai
sedan,100425,1,volkswagen,volkswagen ameo,2016,570000,2016,third party,diesel,5,manual,2016,1498,4,4,yes,no,3995,1682,1483,5,fwd,power,5.11,tubeless radial,4,chennai
sedan,102497,1,hyundai,hyundai verna,2018,827000,2018,zero dep,diesel,5,manual,2018,1582,4,4,yes,no,4440,1729,1475,6,fwd,power,5.01,tubeless,4,chennai
sedan,97942,2,toyota,toyota etios,2011,345000,2012,third party,petrol,5,manual,2011,1496,4,4,no,no,4097,1734,1562,5,fwd,power,5.36,tubeless radial,4,chennai
hatchback,78423,1,volkswagen,volkswagen polo,2019,650000,2019,third party,petrol,5,manual,2019,999,3,4,no,no,3971,1682,1469,5,fwd,power,4.97,tubeless radial,5,chennai
hatchback,43088,2,maruti,maruti alto 800,2014,244000,2014,third party,petrol,5,manual,2014,796,3,4,no,no,3445,1515,1475,5,fwd,manual,4.6,tubeless,5,chennai
suv,14103,1,renault,renault kiger,2021,815000,2021,third party,petrol,5,manual,2021,999,3,4,yes,no,3991,1750,1605,5,fwd,electric,4.97,tubeless radial,5,chennai
sedan,74000,1,mercedes-benz,mercedes-benz c-class,2011,1100000,2011,comprehensive,diesel,5,automatic,2011,2143,4,4,no,no,4596,1770,1447,6,rwd,power,5.42,tubeless radial,4,chennai
suv,41285,1,toyota,toyota urban cruiser,2022,1150000,2022,comprehensive,petrol,5,automatic,2022,1462,4,4,no,no,3995,1790,1640,4,fwd,electronic,5.2,tubeless radial,5,chennai
hatchback,76554,3,ford,ford figo,2012,210000,2012,third party,petrol,5,manual,2012,1196,4,4,no,no,3795,1680,1427,5,fwd,power,4.9,tubeless radial,5,chennai
muv,25119,1,datsun,datsun go plus,2018,391000,2018,third party,petrol,7,manual,2018,1198,3,4,no,no,3995,1636,1507,5,fwd,electric,4.6,tubeless,5,chennai
suv,4977,1,volkswagen,volkswagen taigun,2022,1529000,2022,comprehensive,petrol,5,manual,2022,999,3,4,yes,no,4221,1760,1612,6,fwd,electric,5.05,tubeless radial,5,chennai
suv,10000,1,volvo,volvo xc40,2023,5300000,2023,comprehensive,petrol,5,automatic,2023,1969,4,4,no,no,4440,1863,1652,8,fwd,electric,5.9,tubeless radial,5,chennai
sedan,85037,3,honda,honda new accord,2004,250000,2004,comprehensive,petrol,5,automatic,2004,2997,6,4,no,no,4860,1810,1465,5,fwd,power,5.5,tubeless radial,6,chennai
hatchback,2177,2,maruti,maruti s-presso,2021,549000,2021,comprehensive,petrol,5,manual,2021,998,3,4,no,no,3565,1520,1567,5,fwd,power,4.5,tubeless radial,5,chennai
suv,40511,1,ford,ford ecosport,2018,860000,2018,third party,diesel,5,manual,2018,1498,4,4,yes,no,3998,1765,1647,5,fwd,electric,5.3,tubeless radial,5,chennai
suv,30400,1,hyundai,hyundai venue,2021,1145000,2021,third party,petrol,5,manual,2021,998,3,4,yes,no,3995,1770,1605,6,fwd,electric,5.01,radial,5,chennai
suv,75000,1,honda,honda wr-v,2017,790000,2017,comprehensive,diesel,5,manual,2017,1498,4,4,yes,no,3999,1734,1601,6,fwd,electric,5.3,tubeless radial,5,chennai
suv,27600,1,skoda,skoda kushaq,2021,1650000,2021,third party,petrol,5,automatic,2021,999,3,4,yes,no,4225,1760,1612,6,fwd,electric,5.42,tubeless radial,5,chennai
hatchback,53908,1,hyundai,hyundai grand i10,2015,475000,2015,third party,diesel,5,manual,2015,1120,3,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
sedan,30000,1,mercedes-benz,mercedes-benz e-class,2020,5700000,2020,comprehensive,diesel,5,automatic,2020,1950,4,4,yes,no,5063,1860,1494,9,rwd,electric,6.0,tubeless radial,4,chennai
suv,46000,1,mercedes-benz,mercedes-benz gle,2017,4950000,2017,comprehensive,diesel,5,automatic,2017,2143,4,4,yes,no,4819,2141,1796,9,awd,power,5.9,tubeless radial,5,chennai
suv,9471,1,tata,tata punch,2021,828999,2021,zero dep,petrol,5,automatic,2021,1199,3,4,no,no,3827,1742,1615,5,fwd,electric,4.93,tubeless radial,5,chennai
hatchback,12011,1,tata,tata tiago,2020,648000,2020,comprehensive,petrol,5,automatic,2020,1199,3,4,no,no,3746,1647,1535,5,fwd,power,4.9,tubeless,5,chennai
sedan,85000,2,volkswagen,volkswagen vento,2011,375000,2011,comprehensive,petrol,5,automatic,2011,1598,4,4,no,no,4384,1699,1466,6,fwd,power,5.4,tubeless radial,4,chennai
suv,27370,1,hyundai,hyundai creta,2016,964000,2017,comprehensive,petrol,5,automatic,2016,1591,4,4,no,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,chennai
hatchback,53098,2,hyundai,hyundai eon,2016,288000,2017,comprehensive,petrol,5,manual,2016,814,3,3,no,no,3495,1550,1500,5,fwd,power,4.6,tubeless,5,chennai
hatchback,51680,1,datsun,datsun redigo,2019,340000,2019,third party,petrol,5,manual,2019,799,3,4,no,no,3429,1560,1541,5,2wd,power,4.7,radial,5,chennai
sedan,35821,2,honda,honda city,2018,906000,2018,comprehensive,petrol,5,automatic,2018,1497,4,4,no,no,4440,1695,1495,c,fwd,power,5.3,tubeless radial,4,chennai
coupe,60000,2,land rover,land rover range rover evoque,2013,3300000,2013,comprehensive,petrol,5,automatic,2013,1999,4,4,yes,no,4355,2120,1605,9,4wd,power,5.65,tubeless radial,4,chennai
hatchback,39323,2,hyundai,hyundai i20,2018,686000,2018,comprehensive,petrol,5,automatic,2018,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
hatchback,60799,1,renault,renault kwid,2016,335000,2016,comprehensive,petrol,5,manual,2016,799,3,4,no,no,3679,1579,1478,5,fwd,power,4.9,tubeless radial,5,chennai
sedan,130000,2,mercedes-benz,mercedes-benz c-class,2014,1350000,2014,comprehensive,diesel,5,automatic,2014,2143,4,4,no,no,4591,1770,1447,7,rwd,power,5.42,tubeless radial,4,chennai
sedan,63000,1,toyota,toyota camry,2014,1800000,2014,comprehensive,petrol,5,automatic,2014,2494,4,4,no,no,4825,1825,1480,6,fwd,power,5.5,tubeless radial,4,chennai
sedan,50000,1,mercedes-benz,mercedes-benz e-class,2017,4900000,2017,comprehensive,diesel,5,automatic,2017,2987,6,4,yes,no,5063,1860,1494,9,rwd,electric,6.0,tubeless radial,4,chennai
sedan,22600,1,bmw,bmw 3 series gran limousine,2021,5750000,2021,third party,diesel,5,automatic,2021,1995,4,4,twin,no,4819,1827,1441,8,rwd,electrical,6.12,tubeless runflat,4,chennai
sedan,30000,1,maruti,maruti ciaz,2021,900000,2021,third party,petrol,5,manual,2021,1462,4,4,no,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,chennai
sedan,58619,1,hyundai,hyundai verna,2018,900000,2018,third party,petrol,5,manual,2018,1591,4,4,no,no,4440,1729,1475,6,fwd,power,5.01,tubeless,4,chennai
suv,23300,1,ford,ford ecosport,2019,890000,2019,third party,petrol,5,manual,2019,1497,3,4,no,no,3998,1765,1647,5,fwd,power,5.3,tubeless radial,4,chennai
